epoch, avg_loss
0,2.941201
1,2.429966
2,2.096411
3,1.772653
4,1.542988
5,1.408622
6,1.343278
7,1.319643
8,1.319759
9,1.323520
10,1.361031
11,1.392882
12,1.448582
13,1.516218
14,1.557405
15,1.623761
16,1.659418
17,1.755477
18,1.804077
19,1.847025
20,1.882771
21,1.975030
22,2.052747
23,2.060273
24,2.081342
25,2.123825
26,2.130743
27,2.184322
28,2.195478
29,2.224965
30,2.266530
31,2.269346
32,2.263173
33,2.270425
34,2.287346
35,2.293697
36,2.284549
37,2.294836
38,2.319391
39,2.315120
40,2.280900
41,2.265409
42,2.263356
43,2.262469
44,2.248746
45,2.253487
46,2.222693
47,2.232856
48,2.270142
49,2.268937
50,2.280462
51,2.277087
52,2.257720
53,2.266160
54,2.284394
55,2.252930
56,2.284372
57,2.265789
58,2.264461
59,2.258393
60,2.240981
61,2.251496
62,2.252117
63,2.242820
64,2.211341
65,2.211443
66,2.213988
67,2.221432
68,2.217680
69,2.177780
70,2.176910
71,2.150466
72,2.166141
73,2.157120
74,2.150562
75,2.150104
76,2.156108
77,2.155341
78,2.123525
79,2.107210
80,2.118618
81,2.100027
82,2.121577
83,2.096336
84,2.094554
85,2.085313
86,2.067164
87,2.045037
88,2.052199
89,2.094444
90,2.076533
91,2.045875
92,2.048906
93,2.040054
94,2.032568
95,2.015568
96,2.008366
97,2.031625
98,2.025170
99,2.007616
100,1.985707
102,2.029315
103,2.017133
104,2.012421
105,1.997261
106,1.979222
107,1.995080
108,1.970808
109,1.979372
110,1.959631
111,1.958076
112,1.937419
113,1.943479
114,1.922624
115,1.918007
116,1.920559
117,1.926901
118,1.910413
119,1.896562
120,1.874971
121,1.881794
122,1.860466
123,1.875657
124,1.875445
125,1.875522
126,1.860639
127,1.877343
128,1.868402
129,1.848127
130,1.850729
131,1.862506
132,1.854076
133,1.836442
134,1.828122
135,1.847925
136,1.827407
